{
    {true, {-1,48},{-18,35},{-45,4}},
    {true, {-18,33},{-45,9},{-47,-1}},
    {true, {-19,32},{-9,43},{-6,44}},
    {true, {-27,22},{-22,29},{-11,43}},
    {true, {-41,3},{2,49},{-21,26}},
    {true, {-12,35},{-39,12},{-11,34}},
    {true, {-49,3},{-49,-5},{-35,19}},
    {true, {-49,3},{-37,14},{-35,15}},
    {true, {-11,41},{-8,38},{-16,28}},
    {true, {-39,9},{-7,46},{-36,11}},
    {false, {22,35},{-6,10},{-4,6}},
    {true, {0,45},{-33,20},{-20,33}},
    {false, {-28,-12},{18,32},{10,23}},
    {true, {-10,43},{-22,23},{-29,21}},
    {false, {-2,15},{-19,-7},{32,44}},
    {true, {-10,36},{-22,27},{-28,26}},
    {false, {-43,-24},{-4,15},{-3,7}},
    {true, {-5,49},{-10,36},{-7,46}},
    {false, {-10,0},{25,36},{32,42}},
    {true, {-35,10},{3,47},{-42,2}},
    {true, {10292,26688},{59532,71266},{-61766,-43846}},
    {true, {-53182,-39353},{-65776,-43374},{-40984,-16111}},
    {true, {-58009,-33532},{54907,83704},{-19177,548}},
    {true, {30209,49381},{5448,9353},{-78210,-68638}},
    {true, {51178,66318},{-34558,-12845},{-59023,-37776}},
    {true, {20479,27372},{35992,51149},{43388,66987}},
    {true, {9799,14318},{-88771,-76838},{-19272,-5864}},
    {true, {50706,68680},{-54387,-34070},{-3382,19323}},
    {true, {335,28845},{-6395,-2340},{75205,89948}},
    {true, {-29430,-13853},{-45838,-31566},{43363,71374}},
    {true, {-8524,10461},{53497,83098},{26986,57106}},
    {true, {-62497,-50524},{-1582,23857},{-60748,-41025}},
    {true, {74143,90251},{-15780,-10376},{-8777,15673}},
    {true, {-13213,2379},{43234,71768},{-64343,-34201}},
    {true, {-30723,-20015},{57148,79890},{35293,44175}},
    {true, {64353,86936},{-28800,-8479},{-54151,-23176}},
    {true, {-11413,2815},{-47196,-25539},{-90134,-61660}},
    {true, {48979,77426},{28092,51755},{3637,39445}},
    {true, {-69888,-61455},{20275,44095},{-16249,13206}},
    {true, {-58472,-33079},{21591,55664},{-47245,-34518}},
    {true, {-44223,-10150},{28211,45901},{-68011,-56023}},
    {true, {44570,65290},{-25796,6542},{43364,71346}},
    {true, {27585,38556},{32419,45013},{57905,66635}},
    {true, {40846,62786},{-40412,-22729},{-75758,-39230}},
    {true, {11933,38307},{-51813,-39599},{-71883,-55399}},
    {true, {-76594,-52635},{3272,29125},{18608,37580}},
    {true, {-71899,-44604},{-26855,-769},{-67223,-48961}},
    {true, {-82509,-58865},{-65877,-39005},{-18683,1407}},
    {true, {46779,58672},{50896,59778},{-21199,-17035}},
    {true, {9242,26713},{-65765,-60594},{-46424,-34172}},
    {true, {-42524,-28659},{-73080,-67742},{-20495,8365}},
    {true, {-77762,-50266},{32883,70133},{6195,20808}},
    {true, {-80376,-60768},{16047,28475},{-3463,31528}},
    {true, {-67071,-55234},{-55054,-42227},{-25267,-12001}},
    {true, {-52747,-25140},{53033,68811},{-30800,-13204}},
    {true, {-74056,-50742},{33253,61846},{-11051,22554}},
    {true, {884,32461},{19315,49666},{57587,77654}},
    {true, {-29481,5152},{56852,82746},{-29984,-20369}},
    {true, {-82064,-64666},{-46973,-21731},{-18401,914}},
    {true, {-34934,-22279},{-7742,12099},{67135,87372}},
    {true, {27465,61467},{-85472,-65129},{-4237,22254}},
    {true, {-80381,-62026},{-16184,12347},{-2651,17457}},
    {true, {69178,79493},{16016,31837},{-30066,-6941}},
    {true, {58377,77863},{-39777,-24772},{10071,23002}},
    {true, {48442,63706},{-38552,-16295},{26113,45339}},
    {true, {-13335,-4868},{-22175,3111},{70940,84632}},
    {true, {-36181,-20184},{-86761,-55273},{11813,24214}},
    {true, {-26526,6392},{-86737,-67545},{15208,26858}},
    {true, {-41697,-11341},{-67684,-50768},{-50023,-34874}},
    {true, {-44283,-29341},{50069,65137},{16291,32937}},
    {true, {-13737,13518},{34160,56368},{-64104,-55124}},
    {true, {-41467,-20172},{-56108,-30856},{48850,71379}},
    {true, {-73727,-60444},{-37460,-28199},{-9066,3356}},
    {true, {27344,52074},{37384,62673},{-36910,-26850}},
    {true, {-80527,-63118},{-7819,14033},{34192,36345}},
    {true, {61051,78708},{39294,50128},{-20827,1285}},
    {true, {26726,60698},{-31747,-14301},{-68875,-55244}},
    {true, {58293,74218},{-7217,-58},{27209,42785}},
    {true, {16798,50670},{-68005,-44913},{-49444,-28285}},
    {true, {16748,34592},{-61174,-55605},{-66029,-45698}},
    {true, {-9375,15162},{43634,71201},{-61026,-57673}},
    {true, {-21922,-8471},{-35213,-5237},{-89805,-58705}},
    {true, {40507,50361},{-75821,-48923},{-25397,7369}},
    {true, {3497,13168},{53981,83329},{-49767,-26576}},
    {true, {-47985,-18318},{-52177,-38638},{-62333,-42841}},
    {true, {-71589,-44545},{-56337,-38196},{-32354,3050}},
    {true, {-21744,-11127},{65023,92837},{-27885,-5719}},
